Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼,Player-additional
1,Giannis Antetokounmpo,PF,29,MIL,23,23,804,276,443,0.623,9,40,0.225,267,403,0.663,0.633,176,260,0.677,61,188,249,115,35,29,90,68,737,antetgi01
2,Luka Dončić,PG,24,DAL,22,22,805,240,498,0.482,86,224,0.384,154,274,0.562,0.568,139,177,0.785,14,167,181,196,29,12,85,39,705,doncilu01
3,Joel Embiid,C,29,PHI,20,20,687,224,428,0.523,22,67,0.328,202,361,0.56,0.549,205,232,0.884,66,163,229,127,22,36,76,56,675,embiijo01
4,Nikola Jokić,C,28,DEN,24,24,804,256,476,0.538,29,93,0.312,227,383,0.593,0.568,112,144,0.778,82,221,303,226,28,20,66,62,653,jokicni01
5,Shai Gilgeous-Alexander,PG,25,OKC,21,21,729,236,429,0.55,23,67,0.343,213,362,0.588,0.577,144,157,0.917,19,96,115,131,58,18,42,53,639,gilgesh01
6,Kevin Durant,PF,35,PHO,20,20,735,211,406,0.52,45,93,0.484,166,313,0.53,0.575,149,168,0.887,6,123,129,112,15,25,71,40,616,duranke01
7,Stephen Curry,PG,35,GSW,21,21,708,187,400,0.468,106,251,0.422,81,149,0.544,0.6,132,141,0.936,14,92,106,92,17,4,72,36,612,curryst01
8,Jayson Tatum,PF,25,BOS,22,22,810,209,426,0.491,66,189,0.349,143,237,0.603,0.568,118,147,0.803,14,179,193,93,23,9,71,50,602,tatumja01
9,LeBron James,PF,39,LAL,23,23,774,218,396,0.551,53,131,0.405,165,265,0.623,0.617,93,130,0.715,21,152,173,155,35,16,79,26,582,jamesle01
10,Tyrese Maxey,PG,23,PHI,22,22,826,197,428,0.46,70,178,0.393,127,250,0.508,0.542,111,124,0.895,13,78,91,149,17,13,31,41,575,maxeyty01
11,Anthony Davis,C,30,LAL,24,24,846,215,395,0.544,6,18,0.333,209,377,0.554,0.552,138,169,0.817,86,214,300,72,27,62,48,64,574,davisan02
12,Trae Young,PG,25,ATL,21,21,751,175,420,0.417,64,179,0.358,111,241,0.461,0.493,157,180,0.872,13,45,58,227,30,3,83,34,571,youngtr01
13,Jalen Brunson,PG,27,NYK,23,23,820,200,432,0.463,66,154,0.429,134,278,0.482,0.539,99,126,0.786,15,69,84,132,24,1,51,54,565,brunsja01
14,Damian Lillard,PG,33,MIL,22,22,782,156,372,0.419,64,185,0.346,92,187,0.492,0.505,170,186,0.914,14,86,100,154,22,5,62,35,546,lillada01
15,Desmond Bane,SG,25,MEM,22,22,757,200,426,0.469,73,191,0.382,127,235,0.54,0.555,72,83,0.867,20,75,95,116,28,16,64,70,545,banede01
16,Kawhi Leonard,SF,32,LAC,23,23,799,199,396,0.503,53,126,0.421,146,270,0.541,0.569,86,99,0.869,21,112,133,83,36,16,35,35,537,leonaka01
